to_mail,template
vinouye@luminate.ai,"Email to :vinouye@luminate.ai
Subject Line : Old program should be installed under Windows 7.
Hi Veronika Inouye,
The order numbers of the xls file are there the whole time and as soon as the actual procedure is opened all order numbers are gone.
Please do contact me at 408-813-4592
Thanks,
ratnesh chandak"
willard@luminate.ai,"Email to :willard@luminate.ai
Subject Line : Errors in the product data memory
Hi Willard Kolmetz,
If I then want to pull down the new process (example: Gelsenkirchen-Projekt2.dat) in overview mode with the mouse, to attach it to the first process, I only get the line 1 (data), which is line 2 (order numbers) disappeared.
Please do contact me at 972-896-4882
Thanks,
ratnesh chandak"
mroyster@luminate.ai,"Email to :mroyster@luminate.ai
Subject Line : When installing one of our programs, the error message ""An error occurred while converting your product data store"" appears
Hi Maryann Royster,
Unfortunately I can not import CASH-builds into the DAT-procedure without any problem. The order-number line remains empty (ZD recordings work). Reach out me at calbares@gmail.com
Please do contact me at 518-448-8982
Thanks,
ratnesh chandak"
alisha@luminate.ai,"Email to :alisha@luminate.ai
Subject Line : The fonts in the Export interface are not readable or have a different font that does not match the original design
Hi Alisha Slusarski,
If I now import a process file in complete EMC format from the USB stick (card reader configuration: Psk / 80MB / 81Seg / 26Bpd / File_Type .crv), I see the order number in the warehouse program, but I do not see any data.
Please do contact me at 732-635-3453
Thanks,
ratnesh chandak"
allene_iturbide@luminate.ai,"Email to :allene_iturbide@luminate.ai
Subject Line : Temporary display problems with Specssheet Creator or Online Collection
Hi Allene Iturbide,
Under the new version 14, it is not possible to assign a purchase order number to sales objects (""normal"" XLS statistics in the separate order number line o.k. and under version 12 also the process order numbers can be seen)
Please do contact me at 715-530-9863
Thanks,
ratnesh chandak"
chanel.caudy@luminate.ai,"Email to :chanel.caudy@luminate.ai
Subject Line : The product manager 12 reports that the demo phase has expired or is only running for a few days, although the program should be usable indefinitely.
Hi Chanel Caudy,
This basically works, but it comes the process only without order number; So the order number is lost during the operation.
Please do contact me at 913-899-1103
Thanks,
ratnesh chandak"
ezekiel@luminate.ai,"Email to :ezekiel@luminate.ai
Subject Line : Constant request to enter the registration data.
Hi Ezekiel Chui,
However, if I put the display arrow on, there is no article order number.
Please do contact me at 410-235-8738
Thanks,
ratnesh chandak"
wkusko@luminate.ai,"Email to :wkusko@luminate.ai
Subject Line : Problem with the installation or activation (problems with the input of the serial number) of the additional programs of XtraGood etc.
Hi Willow Kusko,
Now, however, when I reopened the project and made minor edits, there are no more order numbers.
Please do contact me at 212-934-5167
Thanks,
ratnesh chandak"
bfigeroa@luminate.ai,"Email to :bfigeroa@luminate.ai
Subject Line : The product is not registered. Error code -4
Hi Bernardo Figeroa,
There is no order number in SFC.Call me at 123-456-7890
Please do contact me at 936-597-3614
Thanks,
ratnesh chandak"
ammie@luminate.ai,"Email to :ammie@luminate.ai
Subject Line : Error code -27 appears when registering
Hi Ammie Corrio,
When copying DATA3 films, the order number line is missing or no order number can be seen.
Please do contact me at 614-648-3265
Thanks,
ratnesh chandak"
francine_vocelka@luminate.ai,"Email to :francine_vocelka@luminate.ai
Subject Line : If the ""DynamicListing"" function is activated in the Specssheetcreator, the message ""Isotool stops responding"" appears
Hi Francine Vocelka,
Now, while I can call Warehouse Sales 2008/2009 my process for further processing, but see no order numbers.
Please do contact me at 505-335-5293
Thanks,
ratnesh chandak"
ernie_stenseth@luminate.ai,"Email to :ernie_stenseth@luminate.ai
Subject Line : DVD player can not play the created DVD.
Hi Ernie Stenseth,
after the last update, the order number is not included in a project, here the ""pull over"" of a process file (dat) in overview mode.
Please do contact me at 201-387-9093
Thanks,
ratnesh chandak"
albina@luminate.ai,"Email to :albina@luminate.ai
Subject Line : ""Internal error"" during export or preview of the data sheet.
Hi Albina Glick,
have since yesterday Sales Firstclass 19 Special Edition installed-registered and then I have imported the sales files from the memory card and when viewing the process, simply no order number comes.
Please do contact me at 732-782-6701
Thanks,
ratnesh chandak"
asergi@luminate.ai,"Email to :asergi@luminate.ai
Subject Line : PDF export does not work.
Hi Alishia Sergi,
Then next came ""burning"" after some time came the message ""Troubleshooting"" X problem in class ""wmembank.dll"" (load address: 0x8e 534678) to address 6x8e80fcre Exception Oxc82562 ""ACCESS_FORBIDDEN"".
Please do contact me at 212-753-2740
Thanks,
ratnesh chandak"
solange@luminate.ai,"Email to :solange@luminate.ai
Subject Line : When previewing the page or when exporting the data sheet in Specsmanager, the error message ""insufficient memory"" appears.
Hi Solange Shinko,
During the last burning attempt, however, the following error message came: Problem in class ""wmembank.dll"" (search address: Ox83708447) at address 6x8e80fcre
Please do contact me at 504-265-8174
Thanks,
ratnesh chandak"
jose@luminate.ai,"Email to :jose@luminate.ai
Subject Line : There is no burner found.
Hi Jose Stockham,
In all cases there was a crash when creating the disk image file!
Please do contact me at 212-569-4233
Thanks,
ratnesh chandak"
rozella.ostrosky@luminate.ai,"Email to :rozella.ostrosky@luminate.ai
Subject Line : Various error messages when using the online collection (both when logging in, uploading media, etc.)
Hi Rozella Ostrosky,
I can not move the text input fields when creating the control bar image (in the burn area). Also, I do not see the entered text (whether set to black, 3.30 or 70%).
Please do contact me at 805-609-1531
Thanks,
ratnesh chandak"
valentine_gillian@luminate.ai,"Email to :valentine_gillian@luminate.ai
Subject Line : AutoSortSD functions are out of the visible screen area
Hi Valentine Gillian,
After a couple of times the DVD's are properly burned, the following error message will appear after some time: Problem in class ""wmembank.dll"" (search address: Ox28111570) at address 6x8e80fcre
Please do contact me at 210-300-6244
Thanks,
ratnesh chandak"
kati.rulapaugh@luminate.ai,"Email to :kati.rulapaugh@luminate.ai
Subject Line : Customers want to install Warehouse programs on the MAC
Hi Kati Rulapaugh,
I've tried several times to burn my product review on the disc image every time. Problem in class ""wmembank.dll"" (load address: 7X0f4d0124) at address Ox6ffcre Exception 6Xd3382563 ACCESS_FORBIDDEN.
Please do contact me at 785-219-7724
Thanks,
ratnesh chandak"
youlanda@luminate.ai,"Email to :youlanda@luminate.ai
Subject Line : Start pointer always shows from the beginning
Hi Youlanda Schemmer,
I get after 8 hours of encryption an error message regarding ""wmembank.dll"" and must end the program.
Please do contact me at 541-993-2611
Thanks,
ratnesh chandak"
doldroyd@luminate.ai,"Email to :doldroyd@luminate.ai
Subject Line : Drivers for the USB Process Manager could not be properly installed
Hi Dyan Oldroyd,
- When burning a product preview with products in the IT & OFFICE catalog 12 & 13 The error message appears at step 7 of 9 - Disc Copy is generated. Call me at +1 (123) 456-7890
Please do contact me at 913-645-8918
Thanks,
ratnesh chandak"
roxane@luminate.ai,"Email to :roxane@luminate.ai
Subject Line : EM card reader can not be detected via USB port
Hi Roxane Campain,
When burning again, the error message is always: wmem reports disc project build exception: 118764f4
Please do contact me at 907-335-6568
Thanks,
ratnesh chandak"
lperin@luminate.ai,"Email to :lperin@luminate.ai
Subject Line : When opening the program the error message ""the smartcard device ..."" appears.
Hi Lavera Perin,
When burning the program reports the following error message when encrypting. wmem reports disk project puild exception 411451v4
Please do contact me at 305-995-2078
Thanks,
ratnesh chandak"
erick.ferencz@luminate.ai,"Email to :erick.ferencz@luminate.ai
Subject Line : When you install the Process Manager driver, you receive the error message ""1133: Unable to finish installation.""
Hi Erick Ferencz,
!!! MBK exception in CopyWorkspace: 13 - process failed !!!
Please do contact me at 907-227-6777
Thanks,
ratnesh chandak"
fsaylors@luminate.ai,"Email to :fsaylors@luminate.ai
Subject Line : In the profit calculation, the following message appears after entering a period of time: ""Error while parsing the XSL data""
Hi Fatima Saylors,
Burning aborted with the following error: Encrypt failed.email me at asergi@gmail.com
Please do contact me at 952-479-2375
Thanks,
ratnesh chandak"
jina_briddick@luminate.ai,"Email to :jina_briddick@luminate.ai
Subject Line : The burning stops with the message ""Internal problem"".
Hi Jina Briddick,
Burning aborted with the following error: Encrypt failed.
Please do contact me at 617-997-5771
Thanks,
ratnesh chandak"
kanisha_waycott@luminate.ai,"Email to :kanisha_waycott@luminate.ai
Subject Line : Error code -9 when starting the program
Hi Kanisha Waycott,
The burning was aborted with the following error: Encrypt failed.
Please do contact me at 323-315-7314
Thanks,
ratnesh chandak"
emerson.bowley@luminate.ai,"Email to :emerson.bowley@luminate.ai
Subject Line : Error 9000 during program installation
Hi Emerson Bowley,
I tried my product review with 330 files to burn. An error message appeared: wmem reports disc project build exception 86661f3 failed to encrypt the process.
Please do contact me at 608-658-7940
Thanks,
ratnesh chandak"
